phase,dataset,block,window_kb,cores,mode,samples,gbps,gbps_min,gbps_max,output_pct,output_pct_min,output_pct_max,compression_factor,compression_factor_min,compression_factor_max,cpu_seconds_per_gb,cpu_seconds_per_gb_min,cpu_seconds_per_gb_max
window,dickens,65536,8,32,sync,3,13.294626000000001,13.292151,13.297585,62.46107111710412,62.461015273795695,62.46114510847458,1.6009972005205713,1.600995303981903,1.6009986318930851,2.40246638002453,2.4019779531396113,2.402525445279699
window,dickens,65536,8,48,async,3,15.880101,15.876468999999998,15.907746,62.45992857971915,62.45972619966592,62.46042275587846,1.6010264864835304,1.6010138194363805,1.6010316740795265,3.017247497355338,3.011757731107852,3.0179582122448014
window,dickens,65536,8,48,sw,3,13.723959,13.720994000000001,13.725235000000001,63.25781363980517,63.25769609478621,63.25783152874456,1.5808323785802596,1.5808319315302435,1.5808353160721917,3.492365067543556,3.491828810217092,3.4929103532878156
window,dickens,65536,8,48,sync,3,15.787346,15.782290000000001,15.792196,62.45974622724724,62.459190031582615,62.459928580019984,1.6010311607122145,1.6010264864758192,1.6010454178069682,3.033653394372765,3.0334300028703054,3.034236216777665
window,dickens,65536,8,52,async,3,15.85392,15.83752,15.890351,62.46044012870744,62.4598875263399,62.46047499832395,1.6010133741282908,1.601012480335498,1.601027538799667,3.273523141279885,3.2667993299833338,3.276659098141628
window,dickens,65536,8,52,sw,3,14.865803,14.860392,14.867033,63.257654471752154,63.25753126436023,63.25776210497285,1.5808363562492695,1.5808336664527491,1.5808394352616912,3.4922367799438754,3.4918990897511293,3.4934007797371702
window,dickens,65536,8,52,sync,3,15.878274,15.849129999999999,15.902656,62.459326206509004,62.45904277754095,62.459388284101166,1.6010419271794645,1.601040335924242,1.6010491924470869,3.265426582259508,3.2642755398846584,3.2750903677362735
window,dickens,65536,8,56,async,3,15.835854999999999,15.807227000000001,15.843549999999999,62.459839227537415,62.45980743159885,62.46097779949194,1.6010287768386027,1.6009995924337481,1.6010295918621311,3.529604432473018,3.5278393415617084,3.5346616455878057
window,dickens,65536,8,56,sw,3,15.998185,15.995581,16.000627,63.257484107396046,63.25728712526237,63.257517386627896,1.5808406137402489,1.5808397820736981,1.580845536451469,3.4943282628623185,3.4938473973551156,3.494927692842167
window,dickens,65536,8,56,sync,3,15.811821,15.807986999999999,15.816087,62.458812310477995,62.45847328689733,62.459402113458914,1.601055100165972,1.6010399814322227,1.6010637906671055,3.533101911538209,3.53267530710978,3.534790166515193
window,dickens,65536,8,64,async,3,15.717289000000001,15.685756,15.807254,62.46310570573069,62.46133820073149,62.46556426025167,1.600945051805605,1.6008820409172608,1.6009903546835778,4.062166509758776,4.04086142982203,4.072298587329804
window,dickens,65536,8,64,sw,3,18.282902,18.281594000000002,18.285008,63.25748879820987,63.25733815128968,63.25750327536773,1.580840496514144,1.5808401347218468,1.5808442612750253,3.4948010550939923,3.494440746211322,3.4948217192215982
window,dickens,65536,8,64,sync,3,15.822379999999999,15.817366,15.855765,62.4597428237723,62.45825288954868,62.45975655914368,1.6010312479535187,1.6010308958746764,1.601069440364274,4.036663194791176,4.029460767108998,4.036991746919178
window,ooffice,65536,8,1,async,3,0.48823300000000003,0.487952,0.489028,67.90572811964907,67.90491205549726,67.91122725100298,1.4726298173815502,1.4725105707543091,1.4726475150762597,2.0457158774601467,2.0422941017692238,2.0469492900941075
window,ooffice,65536,8,1,sw,3,0.377907,0.37778100000000003,0.37802199999999997,68.31657697223335,68.31554529210617,68.31755810787064,1.4637735734424175,1.4637525516076568,1.4637956788958686,2.6433117142577407,2.6422827242858884,2.6443018574253334
window,ooffice,65536,8,1,sync,3,0.44255399999999995,0.44176499999999996,0.443197,67.89403369707227,67.88821183739859,67.91972995549206,1.4728834708242147,1.472326230765791,1.4730097802474673,2.2579617402622056,2.2546362001547844,2.262010344866615
window,random,65536,8,1,async,3,5.131011,5.12984,5.231542999999999,100.018310546875,100.018310546875,100.018310546875,0.9998169280527247,0.9998169280527247,0.9998169280527247,0.19461115947714788,0.19085745830627793,0.1946631863761833
window,random,65536,8,1,sw,3,8.489257,8.449174000000001,8.497584000000002,100.3936767578125,100.3936767578125,100.3936767578125,0.9960786697875186,0.9960786697875186,0.9960786697875186,0.11765693982406235,0.1175250518264956,0.11820989838770037
window,random,65536,8,1,sync,3,2.346784,2.333409,2.350533,100.018310546875,100.018310546875,100.018310546875,0.9998169280527247,0.9998169280527247,0.9998169280527247,0.4254643801900814,0.42485853208612684,0.42797469282067563
window,repeated,65536,8,1,async,3,6.828064,6.807364,6.832306,1.7240289710878087,1.723168670509109,1.7341557826105443,58.00366564426299,57.66494625382681,58.032624264492384,0.146236180563041,0.1461537290630718,0.14668952622483536
