repeat,cpuset,mode,cores,block_bytes,input,wall_seconds,input_bytes,output_bytes,calls,mbps,thread_cpu_seconds,process_cpu_seconds,cpu_cores_used,output_ratio,depth,validation,fallback,phase,dataset,compression_factor,space_saved_pct,payload_output_ratio,cpu_seconds_per_gb
2,"0,2,4,6",async,4,65536,/root/hch/silesia/dickens,2.000863,4146059736,2425243641,63456,2072.136,7.992653,7.992743,3.994647,0.5849514467777075,8,PASS,0,scaling,dickens,1.7095435963252155,41.50485532222925,0.5847677851692198,1.9277925328956236
2,"0,2,4,6",sw,4,65536,/root/hch/silesia/dickens,2.000197,2291462146,1449525373,35071,1145.618,7.994883,7.994959,3.997086,0.6325766173053771,8,PASS,0,scaling,dickens,1.580836174849076,36.742338269462294,0.6325766173053771,3.4890207608081516
2,"0,2,4,6",sync,4,65536,/root/hch/silesia/dickens,2.000090,3418301668,1999572433,52318,1709.074,7.991704,7.991788,3.995714,0.584960786731828,8,PASS,0,scaling,dickens,1.7095163003780018,41.50392132681719,0.5847771235970388,2.3379411111705313
2,"0,2,4,6,8,10,12,14",async,8,65536,/root/hch/silesia/dickens,2.000955,8238704436,4819302546,126096,4117.387,15.985054,15.985221,7.988797,0.5849587861098019,8,PASS,0,scaling,dickens,1.7095221471077986,41.50412138901981,0.5847751222811315,1.9402590691505661
2,"0,2,4,6,8,10,12,14",sw,8,65536,/root/hch/silesia/dickens,2.000225,4585024640,2900376785,70175,2292.254,15.990537,15.990686,7.994442,0.6325760519795156,8,PASS,0,scaling,dickens,1.5808375876239817,36.74239480204844,0.6325760519795156,3.487589981632029
2,"0,2,4,6,8,10,12,14",sync,8,65536,/root/hch/silesia/dickens,2.000149,6803073682,3979440368,104122,3401.284,15.988388,15.98857,7.993691,0.5849474155379286,8,PASS,0,scaling,dickens,1.7095553778631216,41.50525844620714,0.5847637538493442,2.3501979762917404
2,"0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30",async,16,65536,/root/hch/silesia/dickens,2.001852,8478635718,4959704228,129768,4235.395,31.983875,31.984272,15.977339,0.5849648921076573,8,PASS,0,scaling,dickens,1.7095043027231098,41.50351078923427,0.5847812285971832,3.7723370909895246
2,"0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30",sw,16,65536,/root/hch/silesia/dickens,2.000225,9174243584,5803402486,140414,4586.606,31.979478,31.979754,15.988079,0.6325755832471256,8,PASS,0,scaling,dickens,1.5808387590093471,36.74244167528744,0.6325755832471256,3.485819153065993
2,"0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30",sync,16,65536,/root/hch/silesia/dickens,2.000241,8507836800,4976660734,130215,4253.406,31.971409,31.971724,15.983935,0.5849501878080219,8,PASS,0,scaling,dickens,1.709547275721528,41.50498121919781,0.5847665242003702,3.757914585291528
2,"0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62",sync,32,65536,/root/hch/silesia/dickens,2.000510,8492435840,4967550247,129980,4245.136,63.962731,63.966096,31.974902,0.5849382133218448,8,PASS,0,scaling,dickens,1.709582272495129,41.50617866781552,0.5847545487020129,7.532125906529075
2,"0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62",async,32,65536,/root/hch/silesia/dickens,2.003484,8465321532,4951773302,129552,4225.299,64.011487,64.012382,31.950527,0.5849480475468843,8,PASS,0,scaling,dickens,1.7095535307686427,41.50519524531157,0.5847644013623746,7.561718920896861
2,"0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62",sw,32,65536,/root/hch/silesia/dickens,2.000206,18341474816,11602416303,280721,9169.794,63.953411,63.954067,31.973745,0.6325781552134918,8,PASS,0,scaling,dickens,1.5808323315598927,36.74218447865082,0.6325781552134918,3.486855208841239
2,0,async,1,65536,/tmp/accflow-lz4-final/inputs/text,2.000066,7812939776,155327249,119216,3906.341,1.997094,1.997141,0.998537,0.019880768757125,8,PASS,0,scaling,text,50.29986577564378,98.0119231242875,0.019697663288375,0.25561965882994153
2,0,sw,1,65536,/tmp/accflow-lz4-final/inputs/text,2.000008,20310196224,100100607,309909,10155.056,1.99772,1.994476,0.997234,0.0049285888671875,8,PASS,0,scaling,text,202.89783281733747,99.50714111328125,0.0049285888671875,0.09820072529103302
2,0,sync,1,65536,/tmp/accflow-lz4-final/inputs/text,2.000017,3705143296,71047691,56536,1852.556,1.998837,1.998879,0.999431,0.019175423276260786,8,PASS,0,scaling,text,52.150087411003966,98.08245767237392,0.018992317807510786,0.5394876365936914
2,"0,2",async,2,65536,/tmp/accflow-lz4-final/inputs/text,2.000231,8528592896,169904437,130136,4263.805,3.994395,3.994456,1.996998,0.019921743137685348,8,PASS,0,scaling,text,50.196410679963584,98.00782568623147,0.019738637668935348,0.4683604961228061
2,"0,2",sync,2,65536,/tmp/accflow-lz4-final/inputs/text,2.000009,4043767808,77144915,61703,2021.875,3.997716,3.997786,1.998884,0.01907748383756855,8,PASS,0,scaling,text,52.417814032201605,98.09225161624315,0.01889437836881855,0.9886289692724118
2,"0,2",sw,2,65536,/tmp/accflow-lz4-final/inputs/text,2.000006,40447901696,199351078,617186,20223.889,3.995909,3.995964,1.997976,0.0049285888671875,8,PASS,0,scaling,text,202.89783281733747,99.50714111328125,0.0049285888671875,0.098792862730755
2,"0,2,4,6",async,4,65536,/tmp/accflow-lz4-final/inputs/text,2.000393,8524922880,169284344,130080,4261.624,7.990313,7.990414,3.994422,0.019857580694032036,8,PASS,0,scaling,text,50.35860185629452,98.0142419305968,0.019674475225282036,0.9373004439425497
2,"0,2,4,6",sw,4,65536,/tmp/accflow-lz4-final/inputs/text,2.000009,80996335616,399197638,1235906,40497.977,7.993852,7.993939,3.996951,0.0049285888671875,8,PASS,0,scaling,text,202.89783281733747,99.50714111328125,0.0049285888671875,0.09869506983499732
2,"0,2,4,6",sync,4,65536,/tmp/accflow-lz4-final/inputs/text,2.000044,8100315136,161095730,123601,4050.069,7.994436,7.9945,3.997163,0.01988758798828046,8,PASS,0,scaling,text,50.28261851509038,98.01124120117196,0.01970448251953046,0.9869369111913031
2,"0,2,4,6,8,10,12,14",async,8,65536,/tmp/accflow-lz4-final/inputs/text,2.000716,8514961408,166825775,129928,4255.958,15.9912,15.991354,7.992817,0.019592076464758065,8,PASS,0,scaling,text,51.04104211714287,98.0407923535242,0.019408970996008065,1.8780301206034544
2,"0,2,4,6,8,10,12,14",sw,8,65536,/tmp/accflow-lz4-final/inputs/text,2.000008,161877131264,797825827,2470049,80938.235,15.987713,15.987898,7.993917,0.0049285888671875,8,PASS,0,scaling,text,202.89783281733747,99.50714111328125,0.0049285888671875,0.0987656370925296
2,"0,2,4,6,8,10,12,14",sync,8,65536,/tmp/accflow-lz4-final/inputs/text,2.000127,8518631424,171377666,129984,4259.045,15.99055,15.990652,7.994818,0.02011798110165542,8,PASS,0,scaling,text,49.70677698458094,97.98820188983446,0.01993487563290542,1.8771386158284384
2,"0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30",async,16,65536,/tmp/accflow-lz4-final/inputs/text,2.001366,8495038464,166788659,129624,4244.62,31.987789,31.988178,15.983172,0.019633655539855598,8,PASS,0,scaling,text,50.932950207363916,98.03663444601443,0.019450550071105598,3.7655130268754484
2,"0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30",sw,16,65536,/tmp/accflow-lz4-final/inputs/text,2.000012,305504780288,1505707459,4661633,152751.483,31.977788,31.978188,15.988999,0.0049285888671875,8,PASS,0,scaling,text,202.89783281733747,99.50714111328125,0.0049285888671875,0.10467328193638768
2,"0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30",sync,16,65536,/tmp/accflow-lz4-final/inputs/text,2.000203,8515551232,171339685,129937,4257.343,31.982678,31.982907,15.98983,0.020120797859348727,8,PASS,0,scaling,text,49.69981841626474,97.98792021406513,0.019937692390598727,3.7558234491988784
