dataset,block_bytes,mode,mbps,output_pct,compression_factor,space_saved_pct,payload_output_pct,output_mb_per_input_gb,throughput_vs_sw,output_reduction_vs_sw_pct
dickens,1048576,sw,329.525,63.17414670318781,1.5829260103793998,36.82585329681219,63.17414670318781,631.7414670318781,1.0,0.0
dickens,1048576,sync,441.095,56.74516738905883,1.7622646050962438,43.25483261094117,56.74399028123964,567.4516738905883,1.3385782565814432,10.176598576525874
dickens,1048576,async,542.494,56.74442409120029,1.762287689082523,43.25557590879971,56.743247127829676,567.4442409120029,1.6462908732266142,10.177775162039627
dickens,4194304,sw,329.359,63.089759893381306,1.5850432807003108,36.910240106618694,63.089759893381306,630.897598933813,1.0,0.0
dickens,4194304,sync,441.275,56.655345328426506,1.7650585204327673,43.344654671573494,56.654992761738086,566.5534532842651,1.3397994285870434,10.19882557142181
dickens,4194304,async,539.753,56.65604192193601,1.7650368188054122,43.34395807806399,56.6556892361598,566.56041921936,1.6387983932426322,10.197721440560203
xml,4096,sw,548.444,37.77726183130069,2.647094975982195,62.22273816869931,37.77726183130069,377.7726183130069,1.0,0.0
xml,4096,sync,567.366,35.05046230843063,2.8530294157046585,64.94953769156938,34.75749355843063,350.5046230843063,1.0345012435180256,7.218097317499983
xml,4096,async,765.451,35.07578218138063,2.850969922292517,64.92421781861937,34.78281343138063,350.75782181380634,1.3956775896901052,7.1510732090215186
xml,65536,sw,695.046,25.324399960011686,3.9487608850714846,74.67560003998832,25.324399960011686,253.24399960011684,1.0,0.0
xml,65536,sync,842.737,20.693914060449565,4.83233861452634,79.30608593955044,20.67550570852562,206.93914060449563,1.21249097182057,18.284681599065944
xml,65536,async,1321.433,20.708703586379265,4.828887505337272,79.29129641362074,20.690294909688514,207.08703586379266,1.9012166101236463,18.226281297565993
xml,262144,sw,700.027,23.38004099956835,4.277152465294916,76.61995900043165,23.38004099956835,233.8004099956835,1.0,0.0
xml,262144,sync,861.064,19.719110295927614,5.0712227123478275,80.2808897040724,19.714395939564675,197.19110295927615,1.2300439840177593,15.658358784350835
xml,262144,async,1357.251,19.721506785418637,5.0706064748529425,80.27849321458136,19.71679239857071,197.21506785418637,1.9388552155845415,15.648108633416246
xml,1048576,sw,701.565,23.06690279803293,4.335215736398198,76.93309720196707,23.06690279803293,230.6690279803293,1.0,0.0
xml,1048576,sync,866.347,19.472755721277863,5.135379985829642,80.52724427872214,19.47140898352239,194.72755721277863,1.2348777376294426,15.581402966078162
xml,1048576,async,1351.627,19.473313548559094,5.1352328791213555,80.52668645144091,19.47196687945299,194.73313548559094,1.9265884130479711,15.578984664470374
xml,4194304,sw,702.758,22.95211557670195,4.356896847517934,77.04788442329806,22.95211557670195,229.5211557670195,1.0,0.0
xml,4194304,sync,867.177,19.377748050203238,5.160558375561663,80.62225194979676,19.377299841141838,193.7774805020324,1.233962473568426,15.573150608072716
xml,4194304,async,1303.597,19.396967595863952,5.155445020247555,80.60303240413604,19.396518601611078,193.96967595863953,1.8549728355991677,15.489413030172816
ooffice,4096,sw,408.768,75.17266445602931,1.3302707935607754,24.827335543970698,75.17266445602931,751.726644560293,1.0,0.0
ooffice,4096,sync,375.54,74.43117005150106,1.343523149384957,25.568829948498937,74.13820130150106,744.3117005150106,0.918711836542978,0.9863883499326542
ooffice,4096,async,474.468,74.45114857740346,1.3431626228846498,25.54885142259654,74.15817982740346,744.5114857740346,1.1607268670737436,0.9598115004262997
ooffice,65536,sw,378.071,68.31850901725504,1.463732177977468,31.681490982744965,68.31850901725504,683.1850901725503,1.0,0.0
ooffice,65536,sync,407.786,66.23878492794738,1.509689528707042,33.76121507205262,66.22045010920867,662.3878492794738,1.0785963483049479,3.0441590708344957
ooffice,65536,async,493.023,66.22657583268628,1.509967845123661,33.77342416731373,66.2082409560918,662.2657583268627,1.3040487104274066,3.062029916432174
ooffice,262144,sw,418.863,70.79049149853901,1.4126190945017498,29.20950850146099,70.79049149853901,707.9049149853901,1.0,0.0
ooffice,262144,sync,405.982,65.60204907700403,1.524342629642856,34.39795092299598,65.59736781868179,656.0204907700402,0.9692477015157701,7.329292835383228
ooffice,262144,async,489.344,65.63241936019776,1.5236372660771391,34.36758063980224,65.62773898846265,656.3241936019775,1.1682674287296801,7.286391193438324
ooffice,1048576,sw,416.847,70.60633905524818,1.4163034273983788,29.393660944751822,70.60633905524818,706.0633905524818,1.0,0.0
ooffice,1048576,sync,405.146,65.36306650515537,1.529915980794945,34.63693349484463,65.36189619057483,653.6306650515537,0.9719297488047174,7.426064883480277
ooffice,1048576,async,488.463,65.36299704235499,1.529917606672784,34.63700295764502,65.36182672777443,653.6299704235498,1.1718040432100987,7.426163263882546
ooffice,4194304,sw,418.152,70.53277921105193,1.4177805145147433,29.46722078894807,70.53277921105193,705.3277921105193,1.0,0.0
ooffice,4194304,sync,404.289,65.32326251038704,1.5308482178779577,34.67673748961296,65.32287240552684,653.2326251038704,0.9668469838718935,7.385951268241819
ooffice,4194304,async,483.233,65.32319131132448,1.5308498864271487,34.67680868867552,65.3228012064643,653.2319131132448,1.155639576039335,7.386052212885364
