phase,dataset,block_bytes,cores,mode,samples,mbps,mbps_min,mbps_max,output_ratio,output_ratio_min,output_ratio_max,compression_factor,compression_factor_min,compression_factor_max,space_saved_pct,space_saved_pct_min,space_saved_pct_max,payload_output_ratio,payload_output_ratio_min,payload_output_ratio_max,cpu_seconds_per_gb,cpu_seconds_per_gb_min,cpu_seconds_per_gb_max,cpu_cores_used,cpu_cores_used_min,cpu_cores_used_max
screen,random,262144,1,sync,3,1528.887,1522.148,1533.163,1.0000457763671875,1.0000457763671875,1.0000457763671875,0.9999542257281924,0.9999542257281924,0.9999542257281924,-0.00457763671875,-0.00457763671875,-0.00457763671875,1.0,1.0,1.0,0.6531928428834326,0.6513284157231071,0.6560185641178246,0.998593,0.998557,0.998658
screen,random,262144,1,async,3,3496.262,3490.696,3497.233,1.0000457763671875,1.0000457763671875,1.0000457763671875,0.9999542257281924,0.9999542257281924,0.9999542257281924,-0.00457763671875,-0.00457763671875,-0.00457763671875,1.0,1.0,1.0,0.28540447747392905,0.2849164912454802,0.2859464994779936,0.998126,0.996143,0.998153
screen,random,1048576,1,async,3,3439.482,3423.502,3476.228,1.0000114440917969,1.0000114440917969,1.0000114440917969,0.9999885560391689,0.9999885560391689,0.9999885560391689,-0.0011444091796875,-0.0011444091796875,-0.0011444091796875,1.0,1.0,1.0,0.2901173099767209,0.2870485186576844,0.29147645601859457,0.997853,0.997846,0.997871
screen,random,1048576,1,sync,3,1521.079,1519.573,1525.352,1.0000114440917969,1.0000114440917969,1.0000114440917969,0.9999885560391689,0.9999885560391689,0.9999885560391689,-0.0011444091796875,-0.0011444091796875,-0.0011444091796875,1.0,1.0,1.0,0.6564514977591378,0.6546214386657044,0.6571851645138665,0.998527,0.998515,0.998641
screen,random,1048576,1,sw,3,10634.205,10606.354,10703.572,1.0039234161376953,1.0039234161376953,1.0039234161376953,0.9960919168986121,0.9960919168986121,0.9960919168986121,-0.39234161376953125,-0.39234161376953125,-0.39234161376953125,1.0039234161376953,1.0039234161376953,1.0039234161376953,0.09390288051875285,0.09331303330424437,0.09414960198272307,0.998584,0.998583,0.998783
screen,random,4194304,1,sync,3,1536.217,1535.713,1536.529,1.0000028610229492,1.0000028610229492,1.0000028610229492,0.9999971389852362,0.9999971389852362,0.9999971389852362,-0.000286102294921875,-0.000286102294921875,-0.000286102294921875,1.0,1.0,1.0,0.6501388809661449,0.6499953101051602,0.6503870441738201,0.998754,0.998736,0.998808
screen,random,4194304,1,sw,3,14963.296,14956.75,15006.717,1.0039219856262207,1.0039219856262207,1.0039219856262207,0.9960933362528421,0.9960933362528421,0.9960933362528421,-0.3921985626220703,-0.3921985626220703,-0.3921985626220703,1.0039219856262207,1.0039219856262207,1.0039219856262207,0.06674377105695785,0.06655023509793738,0.06676382117236657,0.9987,0.99857,0.998707
screen,random,4194304,1,async,3,3275.485,3273.105,3276.786,1.0000028610229492,1.0000028610229492,1.0000028610229492,0.9999971389852362,0.9999971389852362,0.9999971389852362,-0.000286102294921875,-0.000286102294921875,-0.000286102294921875,1.0,1.0,1.0,0.30446843225128795,0.30344845068575155,0.30473057104616746,0.997282,0.994336,0.997415
screen,repeated,4096,1,sync,3,1408.713,1402.172,1416.729,0.03797897465170869,0.03795104282981161,0.0379917277717726,26.330358024950247,26.321519410943665,26.349737067421817,96.20210253482912,96.20082722282274,96.20489571701883,0.03504928715170869,0.03502135532981161,0.0350620402717726,0.7094094950039541,0.7053836053552945,0.7126889669319337,0.999337,0.999313,0.999354
screen,repeated,4096,1,async,3,3019.139,2945.273,3019.409,0.050556436799133644,0.04916072392319651,0.05164507618508125,19.779874993427867,19.36293009649719,20.341441707862028,94.94435632008663,94.83549238149187,95.08392760768035,0.047626749299133644,0.04623103642319651,0.04871538868508125,0.3307976559489909,0.3307825151881932,0.33907333657018013,0.998724,0.998664,0.998767
screen,repeated,4096,1,sw,3,7478.894,7380.453,7568.101,0.00634765625,0.00634765625,0.00634765625,157.53846153846155,157.53846153846155,157.53846153846155,99.365234375,99.365234375,99.365234375,0.00634765625,0.00634765625,0.00634765625,0.13310226625165808,0.1319968175734405,0.1351531481928804,0.997492,0.995457,0.998965
screen,repeated,65536,1,async,3,3906.741,3904.915,3907.555,0.01695257145436673,0.016888237101892214,0.016956629185312336,58.988101167532015,58.973985281590636,59.212811495165276,98.30474285456333,98.30433708146876,98.31117628981077,0.01676946598561673,0.016705131633142214,0.016773523716562336,0.2555980262613015,0.25554710205995207,0.2557416780952928,0.998564,0.998555,0.998649
screen,repeated,65536,1,sync,3,1859.455,1855.296,1861.162,0.018406546271676857,0.018374611760528993,0.018425566437397848,54.328497331340955,54.272415634958634,54.42291859184352,98.15934537283232,98.15744335626022,98.1625388239471,0.018223440802926857,0.018191506291778993,0.018242460968647848,0.5369734428298305,0.5362780845181218,0.5386433387467988,0.999343,0.997185,0.999395
